year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2018,4,277,CentriLogic,Bracknell,CentriLogic,Multi,Operational,2007,Retail,No. 5 Arlington Square,United Kingdom,Bracknell,RG12 1WA,51.4166165,-0.758679,5500,2750,770,385,1173,2.6,153
2019,4,277,CentriLogic,Bracknell,CentriLogic,Multi,Operational,2007,Retail,No. 5 Arlington Square,United Kingdom,Bracknell,RG12 1WA,51.4166165,-0.758679,5500,2750,770,385,1173,2.6,153
2020,4,277,CentriLogic,Bracknell,CentriLogic,Multi,Operational,2007,Retail,No. 5 Arlington Square,United Kingdom,Bracknell,RG12 1WA,51.4166165,-0.758679,5500,2750,770,385,1173,2.6,153
2018,4,302,Redcentric,LON1,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5229663,-0.0829156,21000,10500,2800,1400,4481,1.6,583
2019,4,302,Redcentric,LON1,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5229663,-0.0829156,21000,10500,2800,1400,4481,1.6,583
2020,4,302,Redcentric,LON1,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5229663,-0.0829156,21000,10500,2800,1400,4481,1.6,583
2018,4,334,Cogent Communications,LON13,Cogent Communications,Multi,Operational,,Retail,200 Mastmaker Court,United Kingdom,London,E14 9UB,51.4999128,-0.0210049,3336,1334,230,92,423,1.9,93
2019,4,334,Cogent Communications,LON13,Cogent Communications,Multi,Operational,,Retail,200 Mastmaker Court,United Kingdom,London,E14 9UB,51.4999128,-0.0210049,3336,1334,230,92,423,1.9,93
2020,4,334,Cogent Communications,LON13,Cogent Communications,Multi,Operational,,Retail,200 Mastmaker Court,United Kingdom,London,E14 9UB,51.4999128,-0.0210049,3336,1334,230,92,423,1.9,93
2018,4,378,Colt Data Centre Services,LON1 (Ferguson House),Colt Data Centre Services,Multi,Operational,1999,Retail,"Ferguson House, 15 Marylebone Road",United Kingdom,London,NW1 5JD,51.5228364,-0.1514423,16146,11302,2000,1400,2400,1.2,449
2019,4,378,Colt Data Centre Services,LON1 (Ferguson House),Colt Data Centre Services,Multi,Operational,1999,Retail,"Ferguson House, 15 Marylebone Road",United Kingdom,London,NW1 5JD,51.5228364,-0.1514423,16146,12110,2000,1500,2400,1.2,449
2020,4,378,Colt Data Centre Services,London City (Ferguson House) LON1,Colt Data Centre Services,Multi,Operational,1999,Retail,"Ferguson House, 15 Marylebone Road",United Kingdom,London,NW1 5JD,51.5228364,-0.1514423,16146,12110,2000,1500,2400,1.2,449
2018,4,379,Colt Data Centre Services,LON2 (Powergate) london West,Colt Data Centre Services,Multi,Operational,,Retail,"9-13 Powergate Business Park, Volt Avenue",United Kingdom,London,NW10 6PN,51.5305468,-0.2574254,48438,42625,5000,4400,6000,1.2,1346
2019,4,379,Colt Data Centre Services,LON2 (Powergate) london West,Colt Data Centre Services,Multi,Operational,,Retail,"9-13 Powergate Business Park, Volt Avenue",United Kingdom,London,NW10 6PN,51.5305468,-0.2574254,48438,43594,5000,4500,6000,1.2,1346
2020,4,379,Colt Data Centre Services,London West (Powergate) LON2,Colt Data Centre Services,Multi,Operational,,Retail,"9-13 Powergate Business Park, Volt Avenue",United Kingdom,London,NW10 6PN,51.5305468,-0.2574254,48438,43594,5000,4500,6000,1.2,1346
2018,4,380,Colt Data Centre Services,LON3 (Welwyn) London North,Colt Data Centre Services,Multi,Operational,2011,Retail,20 Black Fran Road,United Kingdom,Welwyn Garden City,AL71QA,51.7998989,-0.1837621,129929,116936,30436,27392,44573,1.1,3609
2019,4,380,Colt Data Centre Services,LON3 (Welwyn) London North,Colt Data Centre Services,Multi,Operational,2011,Retail,20 Black Fran Road,United Kingdom,Welwyn Garden City,AL71QA,51.7998989,-0.1837621,162218,145996,38000,34200,44573,1.1,4506
2020,4,380,Colt Data Centre Services,London North (Welwyn) LON3,Colt Data Centre Services,Multi,Operational,2011,Retail,20 Black Fran Road,United Kingdom,Welwyn Garden City,AL71QA,51.7998989,-0.1837621,172981,164332,40521,38495,44573,1.1,4805
2018,4,392,Computacenter,Romford,Infinity SDC,Multi,Operational,2010,Retail,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5814018,0.18634,7500,5250,901,631,1492,1.8,208
2019,4,392,Computacenter,Romford,Infinity SDC,Multi,Operational,2010,Retail,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5814018,0.18634,7500,5250,901,631,1492,1.8,208
2020,4,392,Computacenter,Romford,Infinity SDC,Multi,Operational,2010,Retail,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5814018,0.18634,7500,5250,901,631,1492,1.8,208
2018,4,401,Daisy Group,Interxion London,Interxion,Multi,Operational,,Retail,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,500,250,75,38,135,1.8,14
2019,4,401,Daisy Group,Interxion London,Interxion,Multi,Operational,,Retail,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,500,250,75,38,135,1.8,14
2020,4,401,Daisy Group,Interxion London,Digital Realty,Multi,Operational,,Retail,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,500,250,75,38,135,1.8,14
2018,4,460,CyrusOne,Woking,Digital Realty,Multi,Operational,2011,Wholesale,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,10000,9400,1000,940,2850,1.9,278
2019,4,460,CyrusOne,Woking,Digital Realty,Multi,Operational,2011,Wholesale,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,10000,9600,1500,1440,2850,1.9,278
2020,4,460,CyrusOne,Woking,Digital Realty,Multi,Operational,2011,Wholesale,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,10000,9600,1500,1440,2850,1.9,278
2018,4,463,Daisy Group,North London,Virtus Data Centres,Multi,Operational,,Retail,"Unit 3, Trade City Crown Road",United Kingdom,Enfield,EN1 1TH,51.6523151,-0.0577126,5550,4163,833,625,1290,1.6,154
2019,4,463,Daisy Group,North London,Virtus Data Centres,Multi,Operational,,Retail,"Unit 3, Trade City Crown Road",United Kingdom,Enfield,EN1 1TH,51.6523151,-0.0577126,5550,4163,833,625,1290,1.6,154
2020,4,463,Daisy Group,North London,Virtus Data Centres,Multi,Operational,,Retail,"Unit 3, Trade City Crown Road",United Kingdom,Enfield,EN1 1TH,51.6523151,-0.0577126,5550,4163,833,625,1290,1.6,154
2018,4,464,Daisy Group,Reading,Daisy Group,Multi,Operational,,Retail,1 Transcentral Bennet Rd,United Kingdom,Reading,RG2 0QX,51.4258441,-0.9754303,9500,6650,1425,998,2565,1.8,264
2019,4,464,Daisy Group,Reading,Daisy Group,Multi,Operational,,Retail,1 Transcentral Bennet Rd,United Kingdom,Reading,RG2 0QX,51.4258441,-0.9754303,9500,6650,1425,998,2565,1.8,264
2020,4,464,Daisy Group,Reading,Daisy Group,Multi,Operational,,Retail,1 Transcentral Bennet Rd,United Kingdom,Reading,RG2 0QX,51.4258441,-0.9754303,9500,6650,1425,998,2565,1.8,264
2018,4,497,Rackspace,London One,Global Switch,Multi,Operational,2008,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,15000,10500,800,560,1521,1.9,417
2019,4,497,Rackspace,London One,Global Switch,Multi,Operational,2008,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,15000,10500,800,560,1521,1.9,417
2020,4,497,Rackspace,London One,Global Switch,Multi,Operational,2008,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,15000,10500,800,560,1521,1.9,417
2018,4,498,Rackspace,LON3,Equinix,Multi,Operational,2009,Retail,8 Buckingham Avenue,United Kingdom,Slough,SL1 4AX,51.5224625,-0.6290497,500,250,80,40,152,1.9,14
2019,4,498,Rackspace,LON3,Equinix,Multi,Operational,2009,Retail,8 Buckingham Avenue,United Kingdom,Slough,SL1 4AX,51.5224625,-0.6290497,500,250,80,40,152,1.9,14
2020,4,498,Rackspace,LON3,Equinix,Multi,Operational,2009,Retail,8 Buckingham Avenue,United Kingdom,Slough,SL1 4AX,51.5224625,-0.6290497,500,250,80,40,152,1.9,14
2018,4,504,Datum Data Centres,FRN1,Datum Data Centres,Multi,Operational,2012,Retail,Unit 17/18 Armstrong Mall,United Kingdom,Farnborough,GU14 0NR,51.279501,-0.792355,22000,16500,2000,1500,6000,1.3,710
2019,4,504,Datum Data Centres,FRN1,Datum Data Centres,Multi,Operational,2012,Retail,Unit 17/18 Armstrong Mall,United Kingdom,Farnborough,GU14 0NR,51.279501,-0.792355,22000,16500,2000,1500,6000,1.3,710
2020,4,504,Datum Data Centres,FRN1,Datum Data Centres,Multi,Operational,2012,Retail,Unit 17/18 Armstrong Mall,United Kingdom,Farnborough,GU14 0NR,51.279501,-0.792355,22000,16500,2000,1500,6000,1.3,500
2018,4,520,DigiPlex,London 1,DigiPlex,Multi,Not Operational,1980,Retail,"Breakspear Park, Breakspear Way, Hertfordshire",United Kingdom,Hemel Hempstead,HP2 4UL,51.7558496,-0.4302585, -   , -   , -   , -   ,,1.8, -   
2019,4,520,DigiPlex,London 1,DigiPlex,Multi,Not Operational,1980,Retail,"Breakspear Park, Breakspear Way, Hertfordshire",United Kingdom,Hemel Hempstead,HP2 4UL,51.7558496,-0.4302585, -   , -   , -   , -   ,,1.8, -   
2020,4,520,DigiPlex,London 1,DigiPlex,Multi,Not Operational,1980,Retail,"Breakspear Park, Breakspear Way, Hertfordshire",United Kingdom,Hemel Hempstead,HP2 4UL,51.7558496,-0.4302585, -   , -   , -   , -   ,,1.8, -   
2018,4,536,Digital Realty,Cressex 1,Digital Realty,Single,Operational,1998,Wholesale,"Phoenix House, Cressex Business Park, Coronation Rd",United Kingdom,High Wycombe,HP12 3TA,51.6198638,-0.7789903,50847,50847,2880,2880,5473,1.9,2825
2019,4,536,Digital Realty,Cressex 1,Digital Realty,Single,Operational,1998,Wholesale,"Phoenix House, Cressex Business Park, Coronation Rd",United Kingdom,High Wycombe,HP12 3TA,51.6198638,-0.7789903,50847,50847,2880,2880,5473,1.9,2825
2020,4,536,Digital Realty,Cressex 1,Digital Realty,Single,Operational,1998,Wholesale,"Phoenix House, Cressex Business Park, Coronation Rd",United Kingdom,High Wycombe,HP12 3TA,51.6198638,-0.7789903,50847,50847,2880,2880,5473,1.9,2825
2018,4,537,Digital Realty,"Fountain Ct, Chessington",Digital Realty,Multi,Operational,1996,Wholesale,"Fountain Crt, Cox Ln",United Kingdom,Chessington,KT9 1SJ,51.5124871,-0.1122157,101213,77934,15182,11690,27328,1.8,2595
2019,4,537,Digital Realty,"Fountain Ct, Chessington",Digital Realty,Multi,Operational,1996,Wholesale,"Fountain Crt, Cox Ln",United Kingdom,Chessington,KT9 1SJ,51.5124871,-0.1122157,101213,77934,15182,11690,27328,1.8,2595
2020,4,537,Digital Realty,"Fountain Ct, Chessington",Digital Realty,Multi,Operational,1996,Wholesale,"Fountain Crt, Cox Ln",United Kingdom,Chessington,KT9 1SJ,51.5124871,-0.1122157,101213,77934,15182,11690,27328,1.8,2595
2018,4,538,Digital Realty,Croydon,Digital Realty,Single,Operational,2003,Wholesale,"140-142 Beddington Lane, Prologis Park, Unit B",United Kingdom,Croydon,CR0 4TD,51.3836203,-0.1366505,60000,60000,8280,8280,15732,1.9,2000
2019,4,538,Digital Realty,Croydon,Digital Realty,Single,Operational,2003,Wholesale,"140-142 Beddington Lane, Prologis Park, Unit B",United Kingdom,Croydon,CR0 4TD,51.3836203,-0.1366505,60000,60000,8280,8280,15732,1.9,2000
2020,4,538,Digital Realty,Croydon,Digital Realty,Single,Operational,2003,Wholesale,"140-142 Beddington Lane, Prologis Park, Unit B",United Kingdom,Croydon,CR0 4TD,51.3836203,-0.1366505,60000,60000,8280,8280,15732,1.9,2000
2018,4,592,Digital Realty,West Drayton,Digital Realty,Single,Operational,2008,Powered shell,Mundells Roundabout,United Kingdom,Welwyn Garden City,AL7 1GE,51.4827825,-0.4607001,56732,26664,7829,3680,14875,1.9,1719
2019,4,592,Digital Realty,West Drayton,Digital Realty,Single,Operational,2008,Powered shell,Mundells Roundabout,United Kingdom,Welwyn Garden City,AL7 1GE,51.4827825,-0.4607001,56732,26664,7829,3680,14875,1.9,1719
2020,4,592,Digital Realty,West Drayton,Digital Realty,Single,Operational,2008,Powered shell,Mundells Roundabout,United Kingdom,Welwyn Garden City,AL7 1GE,51.4827825,-0.4607001,56732,26664,7829,3680,14875,1.9,1719
2018,4,593,Digital Realty,Redhill,Digital Realty,Single,Operational,2001,Wholesale,2 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2476579,-0.1586681,20644,20644,5698,5698,10826,1.9,688
2019,4,593,Digital Realty,Redhill,Digital Realty,Single,Operational,2001,Wholesale,2 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2476579,-0.1586681,20644,20644,5698,5698,10826,1.9,688
2020,4,593,Digital Realty,Redhill,Digital Realty,Single,Operational,2001,Wholesale,2 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2476579,-0.1586681,20644,20644,5698,5698,10826,1.9,688
2018,4,594,Digital Realty,Redhill,Digital Realty,Single,Operational,1999,Wholesale,1 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2477368,-0.1596823,10110,7987,1395,1102,2651,1.9,337
2019,4,594,Digital Realty,Redhill,Digital Realty,Single,Operational,1999,Wholesale,1 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2477368,-0.1596823,10110,7987,1395,1102,2651,1.9,337
2020,4,594,Digital Realty,Redhill,Digital Realty,Single,Operational,1999,Wholesale,1 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2477368,-0.1596823,10110,7987,1395,1102,2651,1.9,337
2018,4,663,Digital Realty,6 Braham St,Digital Realty,Single,Not Operational,,Wholesale,6 Braham St,United Kingdom,London,E18 EC1,51.5139154,-0.0725001, -   , -   , -   , -   ,,1.9, -   
2019,4,663,Digital Realty,6 Braham St,Digital Realty,Single,Not Operational,,Wholesale,6 Braham St,United Kingdom,London,E18 EC1,51.5139154,-0.0725001, -   , -   , -   , -   ,,1.9, -   
2020,4,663,Digital Realty,6 Braham St,Digital Realty,Single,Not Operational,,Wholesale,6 Braham St,United Kingdom,London,E18 EC1,51.5139154,-0.0725001, -   , -   , -   , -   ,,1.9, -   
2018,4,667,Digital Realty,Redhill (unit 3),Digital Realty,Multi,Operational,2001,Wholesale,3 St Anne's Boulevard,United Kingdom,Redhill,RH1 1AX,51.2475722,-0.1571131,54500,50140,7521,6919,14290,1.9,1817
