year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2019,4,972,NTT Communications,Centro,NTT Communications,Multi,Operational,,Retail,"Centro 3 Boundary Way, Hemel Hempstead",United Kingdom,Hemel Hempstead,HP2 7SU,51.7641986,-0.4345023,20000,19000,3000,2850,3900,1.3,556
2020,4,972,NTT Communications,Centro,NTT Communications,Multi,Operational,,Retail,"Centro 3 Boundary Way, Hemel Hempstead",United Kingdom,Hemel Hempstead,HP2 7SU,51.7641986,-0.4345023,20000,19000,3000,2850,3900,1.3,556
2018,4,973,NTT Communications,Maylands,NTT Communications,Multi,Operational,,Retail,150 Maylands Ave,United Kingdom,Hemel Hempstead,HP2 7DF,51.7649831,-0.4421184,25833,25833,6000,6000,7201,1.2,718
2019,4,973,NTT Communications,Maylands,NTT Communications,Multi,Operational,,Retail,150 Maylands Ave,United Kingdom,Hemel Hempstead,HP2 7DF,51.7649831,-0.4421184,25833,25833,6000,6000,7201,1.2,718
2020,4,973,NTT Communications,Maylands,NTT Communications,Multi,Operational,,Retail,150 Maylands Ave,United Kingdom,Hemel Hempstead,HP2 7DF,51.7649831,-0.4421184,25833,25833,6000,6000,7201,1.2,718
2018,4,1051,Infinity SDC,Romford North,Infinity SDC,Multi,Operational,,Wholesale,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5861327,0.1661822,107639,86111,16146,12917,32292,2,2990
2019,4,1051,Infinity SDC,Romford North,Infinity SDC,Multi,Operational,,Wholesale,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5861327,0.1661822,107639,86111,16146,12917,32292,2,2990
2020,4,1051,Infinity SDC,Romford North,Infinity SDC,Multi,Operational,,Wholesale,1 King George Close,United Kingdom,Romford,RM7 7PN,51.5861327,0.1661822,107639,86111,16146,12917,32292,2,2990
2018,4,1052,Infinity SDC,Romford South,Infinity SDC,Multi,Operational,2016,Wholesale,King George Close,United Kingdom,Romford,RM7 7PN,51.5858671,0.1677437,60278,30139,9042,4521,16000,1.5,1674
2019,4,1052,Infinity SDC,Romford South,Infinity SDC,Multi,Operational,2016,Wholesale,King George Close,United Kingdom,Romford,RM7 7PN,51.5858671,0.1677437,60278,33153,9042,4973,16000,1.5,1674
2020,4,1052,Infinity SDC,Romford South,Infinity SDC,Multi,Operational,2016,Wholesale,King George Close,United Kingdom,Romford,RM7 7PN,51.5858671,0.1677437,60278,36167,9042,5425,16000,1.5,1674
2018,4,1053,Virtus Data Centres,LON4,Virtus Data Centres,Multi,Operational,,Wholesale,14 Liverpool Rd.,United Kingdom,Slough,SL1 4QZ,51.5231433,-0.6224058,114098,102688,27000,24300,40000,1.3,3169
2019,4,1053,Virtus Data Centres,LON4,Virtus Data Centres,Multi,Operational,,Wholesale,14 Liverpool Rd.,United Kingdom,Slough,SL1 4QZ,51.5231433,-0.6224058,114098,102688,27000,24300,40000,1.3,3169
2020,4,1053,Virtus Data Centres,LON4,Virtus Data Centres,Multi,Operational,,Wholesale,14 Liverpool Rd.,United Kingdom,Slough,SL1 4QZ,51.5231433,-0.6224058,114098,102688,27000,24300,40000,1.3,3169
2018,4,1054,CyrusOne,London 2,CyrusOne,Multi,Operational,,Wholesale,"Unit F Prologis Distrib Park, Stockley Road",United Kingdom,London,UB7 9FN,51.5037314,-0.4478196,49000,49000,15000,15000,21888,1.9,1256
2019,4,1054,CyrusOne,London 2,CyrusOne,Multi,Operational,,Wholesale,"Unit F Prologis Distrib Park, Stockley Road",United Kingdom,London,UB7 9FN,51.5037314,-0.4478196,64000,64000,21000,21000,21888,1.9,1641
2020,4,1054,CyrusOne,London 2,CyrusOne,Multi,Operational,,Wholesale,"Unit F Prologis Distrib Park, Stockley Road",United Kingdom,London,UB7 9FN,51.5037314,-0.4478196,76800,76800,21000,21000,21888,1.9,1969
2018,4,1075,INAP,London 1,Interxion,Multi,Operational,,Retail,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,1000,390,100,39,180,1.8,28
